,ticker
0,AAPL
1,MSFT
2,AMZN
3,FB
4,GOOGL
5,GOOG
6,BRK.B
7,JNJ
8,V
9,PG
10,JPM
11,NVDA
12,UNH
13,MA
14,HD
15,VZ
16,DIS
17,NFLX
18,ADBE
19,PYPL
20,CRM
21,MRK
22,T
23,INTC
24,PFE
25,CMCSA
26,BAC
27,WMT
28,KO
29,PEP
30,ABT
31,CSCO
32,XOM
33,TMO
34,ABBV
35,MCD
36,COST
37,ACN
38,CVX
39,AMGN
40,MDT
41,AVGO
42,NKE
43,NEE
44,BMY
45,UNP
46,LIN
47,LLY
48,TXN
49,QCOM
50,DHR
51,PM
52,LOW
53,HON
54,ORCL
55,UPS
56,AMT
57,IBM
58,C
59,SBUX
60,LMT
61,MMM
62,AMD
63,FIS
64,CHTR
65,WFC
66,RTX
67,BA
68,BLK
69,NOW
70,INTU
71,SPGI
72,ISRG
73,MDLZ
74,GILD
75,CAT
76,MO
77,CVS
78,BKNG
79,ZTS
80,PLD
81,TGT
82,BDX
83,AXP
84,ANTM
85,VRTX
86,TJX
87,CCI
88,DE
89,D
90,EQIX
91,TMUS
92,APD
93,CL
94,CI
95,SYK
96,GS
97,MS
98,CME
99,DUK
100,ATVI
101,ADP
102,BSX
